Features,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,Porcentaje de Features,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Media (s),median(s),sd(s)
6250,7188,938,0,0.15,0,5302,948,157,157,938,0.38745225333380706,0.3862085000000661,0.004388535273543825
6250,7500,1250,0,0.2,0,5341,909,0,0,1250,0.4105954133340371,0.4088315999979386,0.010252413306632055
6500,7150,650,0,0.1,0,5534,966,325,325,650,0.30817674999974165,0.3074172999986331,0.0026232036062711884
6500,7475,975,0,0.15,0,5556,944,163,163,975,0.42116401666765646,0.4207572000013897,0.003290938444623863
6500,7800,1300,0,0.2,0,5535,965,0,0,1300,0.4448442866666786,0.4382913000008557,0.02015605552546234
6750,7425,675,0,0.1,0,5750,1000,338,338,675,0.3345069500006502,0.3340038000023924,0.0020512937158492952
6750,7763,1013,0,0.15,0,5758,992,169,169,1013,0.4537737433340226,0.45343770000181394,0.0040876031043780405
6750,8100,1350,0,0.2,0,5778,972,0,0,1350,0.47918135000072654,0.4777299999987008,0.005681749326863388
7000,7700,700,0,0.1,0,5945,1055,350,350,700,0.3610624166671187,0.3609264000042458,0.005152991938210509
7000,8050,1050,0,0.15,0,5977,1023,175,175,1050,0.49115609000000404,0.49002479999762727,0.005008547252865361
7000,8400,1400,0,0.2,0,5992,1008,0,0,1400,0.5135740366660078,0.5132569999987027,0.007785733051616101
