Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,nRefactors,Time(ns) 
2,9,9,2,0,2,40800
3,9,9,2,0,2,40400
4,9,9,2,0,2,43100
5,9,9,2,0,2,44600
6,9,9,2,0,2,41100
7,9,9,2,0,2,39700
8,9,9,2,0,2,38500
9,9,9,2,0,2,38600
10,9,9,2,0,2,38000
11,9,9,2,0,2,38100
12,9,9,2,0,2,37300
13,9,9,2,0,2,37000
14,9,9,2,0,2,37300
15,9,9,2,0,2,37400
16,9,9,2,0,2,39800
17,9,9,2,0,2,39300
18,9,9,2,0,2,37100
19,9,9,2,0,2,37400
20,9,9,2,0,2,40000
21,9,9,2,0,2,38000
22,9,9,2,0,2,70800
23,9,9,2,0,2,37200
24,9,9,2,0,2,35300
25,9,9,2,0,2,34900
26,9,9,2,0,2,35000
27,9,9,2,0,2,38400
28,9,9,2,0,2,34900
29,9,9,2,0,2,103400
0,9,9,2,0,2,91500
1,9,9,2,0,2,42800
2,9,9,2,0,2,41800
3,9,9,2,0,2,58300
4,9,9,2,0,2,61700
5,9,9,2,0,2,44600
6,9,9,2,0,2,39700
7,9,9,2,0,2,39800
8,9,9,2,0,2,62000
9,9,9,2,0,2,39200
10,9,9,2,0,2,39000
11,9,9,2,0,2,39000
12,9,9,2,0,2,45300
13,9,9,2,0,2,39100
14,9,9,2,0,2,39400
15,9,9,2,0,2,39300
16,9,9,2,0,2,39500
17,9,9,2,0,2,39700
18,9,9,2,0,2,39400
19,9,9,2,0,2,35600
20,9,9,2,0,2,39200
21,9,9,2,0,2,35500
22,9,9,2,0,2,35100
23,9,9,2,0,2,35000
24,9,9,2,0,2,35300
25,9,9,2,0,2,35500
26,9,9,2,0,2,35300
27,9,9,2,0,2,37500
28,9,9,2,0,2,36600
29,9,9,2,0,2,52600
0,9,9,2,0,2,160000
1,9,9,2,0,2,44100
2,9,9,2,0,2,42100
3,9,9,2,0,2,41900
4,9,9,2,0,2,42000
5,9,9,2,0,2,42300
6,9,9,2,0,2,42100
7,9,9,2,0,2,42500
8,9,9,2,0,2,43900
9,9,9,2,0,2,57500
10,9,9,2,0,2,74600
11,9,9,2,0,2,49500
12,9,9,2,0,2,51600
13,9,9,2,0,2,48000
14,9,9,2,0,2,64800
15,9,9,2,0,2,47500
16,9,9,2,0,2,47800
17,9,9,2,0,2,72000
18,9,9,2,0,2,187000
19,9,9,2,0,2,57300
20,9,9,2,0,2,46900
21,9,9,2,0,2,44700
22,9,9,2,0,2,43900
23,9,9,2,0,2,43800
24,9,9,2,0,2,45100
25,9,9,2,0,2,43500
26,9,9,2,0,2,43900
27,9,9,2,0,2,43400
28,9,9,2,0,2,45600
29,9,9,2,0,2,44500
0,9,9,2,0,2,207400
1,9,9,2,0,2,54100
2,9,9,2,0,2,48300
3,9,9,2,0,2,46600
4,9,9,2,0,2,50100
5,9,9,2,0,2,47100
6,9,9,2,0,2,47600
7,9,9,2,0,2,47300
8,9,9,2,0,2,47200
9,9,9,2,0,2,80700
10,9,9,2,0,2,43300
11,9,9,2,0,2,43600
12,9,9,2,0,2,42800
13,9,9,2,0,2,42300
14,9,9,2,0,2,42200
15,9,9,2,0,2,42700
16,9,9,2,0,2,44500
17,9,9,2,0,2,41800
18,9,9,2,0,2,42000
19,9,9,2,0,2,41700
20,9,9,2,0,2,45200
21,9,9,2,0,2,42400
22,9,9,2,0,2,41700
23,9,9,2,0,2,42600
24,9,9,2,0,2,43900
25,9,9,2,0,2,72600
26,9,9,2,0,2,44200
27,9,9,2,0,2,41700
28,9,9,2,0,2,41800
29,9,9,2,0,2,41600
0,9,9,2,0,2,802700
1,9,9,2,0,2,323700
2,9,9,2,0,2,251000
3,9,9,2,0,2,196300
4,9,9,2,0,2,187400
5,9,9,2,0,2,187100
6,9,9,2,0,2,174600
7,9,9,2,0,2,187500
8,9,9,2,0,2,171800
9,9,9,2,0,2,220100
10,9,9,2,0,2,173400
11,9,9,2,0,2,166800
12,9,9,2,0,2,171300
13,9,9,2,0,2,173200
14,9,9,2,0,2,162000
15,9,9,2,0,2,170700
16,9,9,2,0,2,160600
17,9,9,2,0,2,192300
18,9,9,2,0,2,178200
19,9,9,2,0,2,161500
20,9,9,2,0,2,178300
21,9,9,2,0,2,181200
22,9,9,2,0,2,247400
23,9,9,2,0,2,178400
24,9,9,2,0,2,169000
25,9,9,2,0,2,185200
26,9,9,2,0,2,189600
27,9,9,2,0,2,218600
28,9,9,2,0,2,194000
29,9,9,2,0,2,182000
0,17,17,4,0,4,713400
1,17,17,4,0,4,200400
2,17,17,4,0,4,180100
3,17,17,4,0,4,275300
4,17,17,4,0,4,223800
5,17,17,4,0,4,145200
6,17,17,4,0,4,186300
7,17,17,4,0,4,264600
8,17,17,4,0,4,226400
9,17,17,4,0,4,173900
10,17,17,4,0,4,180500
11,17,17,4,0,4,188400
12,17,17,4,0,4,158800
13,17,17,4,0,4,146400
14,17,17,4,0,4,138300
15,17,17,4,0,4,141300
16,17,17,4,0,4,136400
17,17,17,4,0,4,136200
18,17,17,4,0,4,144300
19,17,17,4,0,4,142800
20,17,17,4,0,4,136400
21,17,17,4,0,4,137100
22,17,17,4,0,4,142300
23,17,17,4,0,4,143800
24,17,17,4,0,4,145500
25,17,17,4,0,4,159300
26,17,17,4,0,4,155100
27,17,17,4,0,4,135000
28,17,17,4,0,4,136700
29,17,17,4,0,4,135200
0,34,34,8,0,8,998500
1,34,34,8,0,8,529500
2,34,34,8,0,8,503700
3,34,34,8,0,8,383500
4,34,34,8,0,8,396200
5,34,34,8,0,8,387900
6,34,34,8,0,8,533200
7,34,34,8,0,8,387600
8,34,34,8,0,8,376400
9,34,34,8,0,8,358100
10,34,34,8,0,8,501500
11,34,34,8,0,8,446800
12,34,34,8,0,8,490000
13,34,34,8,0,8,451400
14,34,34,8,0,8,367800
15,34,34,8,0,8,380100
16,34,34,8,0,8,353900
17,34,34,8,0,8,364500
18,34,34,8,0,8,366800
19,34,34,8,0,8,383400
20,34,34,8,0,8,350200
21,34,34,8,0,8,363900
22,34,34,8,0,8,582000
23,34,34,8,0,8,509600
24,34,34,8,0,8,372100
25,34,34,8,0,8,352200
26,34,34,8,0,8,364800
27,34,34,8,0,8,348600
28,34,34,8,0,8,373500
29,34,34,8,0,8,393400
0,13,13,3,0,3,372200
1,13,13,3,0,3,207200
2,13,13,3,0,3,446600
3,13,13,3,0,3,244800
4,13,13,3,0,3,241500
5,13,13,3,0,3,263900
6,13,13,3,0,3,736800
7,13,13,3,0,3,412500
8,13,13,3,0,3,260200
9,13,13,3,0,3,213700
10,13,13,3,0,3,200900
11,13,13,3,0,3,186400
12,13,13,3,0,3,167500
13,13,13,3,0,3,165900
14,13,13,3,0,3,168600
15,13,13,3,0,3,187600
16,13,13,3,0,3,193100
17,13,13,3,0,3,161600
18,13,13,3,0,3,177500
19,13,13,3,0,3,186700
20,13,13,3,0,3,167900
21,13,13,3,0,3,264400
22,13,13,3,0,3,192600
23,13,13,3,0,3,263800
24,13,13,3,0,3,181600
25,13,13,3,0,3,209500
26,13,13,3,0,3,172500
27,13,13,3,0,3,159500
28,13,13,3,0,3,164700
29,13,13,3,0,3,186600
0,13,13,3,0,3,62500
1,13,13,3,0,3,50200
2,13,13,3,0,3,49300
3,13,13,3,0,3,48800
4,13,13,3,0,3,49800
5,13,13,3,0,3,49800
6,13,13,3,0,3,49600
7,13,13,3,0,3,49600
8,13,13,3,0,3,49600
9,13,13,3,0,3,49300
10,13,13,3,0,3,50200
11,13,13,3,0,3,49000
12,13,13,3,0,3,48800
13,13,13,3,0,3,48600
14,13,13,3,0,3,49100
15,13,13,3,0,3,50500
16,13,13,3,0,3,52400
17,13,13,3,0,3,48300
18,13,13,3,0,3,49000
19,13,13,3,0,3,48600
20,13,13,3,0,3,49100
21,13,13,3,0,3,48600
22,13,13,3,0,3,48700
23,13,13,3,0,3,48600
24,13,13,3,0,3,51500
25,13,13,3,0,3,51900
26,13,13,3,0,3,49000
27,13,13,3,0,3,48700
28,13,13,3,0,3,48800
29,13,13,3,0,3,49200
0,5,5,1,0,1,241900
1,5,5,1,0,1,94600
2,5,5,1,0,1,78700
3,5,5,1,0,1,84500
4,5,5,1,0,1,76400
5,5,5,1,0,1,77300
6,5,5,1,0,1,77400
7,5,5,1,0,1,80600
8,5,5,1,0,1,102900
9,5,5,1,0,1,144500
10,5,5,1,0,1,143700
11,5,5,1,0,1,74800
12,5,5,1,0,1,173000
13,5,5,1,0,1,121400
14,5,5,1,0,1,90900
15,5,5,1,0,1,71100
16,5,5,1,0,1,67900
17,5,5,1,0,1,68000
18,5,5,1,0,1,85800
19,5,5,1,0,1,84300
20,5,5,1,0,1,72100
21,5,5,1,0,1,66500
22,5,5,1,0,1,67400
23,5,5,1,0,1,65200
24,5,5,1,0,1,68500
25,5,5,1,0,1,97400
26,5,5,1,0,1,70700
27,5,5,1,0,1,72800
28,5,5,1,0,1,65900
29,5,5,1,0,1,66900
0,9,9,2,0,2,246200
1,9,9,2,0,2,124800
2,9,9,2,0,2,258900
3,9,9,2,0,2,118200
4,9,9,2,0,2,118300
5,9,9,2,0,2,355400
6,9,9,2,0,2,165100
7,9,9,2,0,2,193400
8,9,9,2,0,2,290400
9,9,9,2,0,2,134000
10,9,9,2,0,2,127500
11,9,9,2,0,2,120000
12,9,9,2,0,2,124400
13,9,9,2,0,2,116800
14,9,9,2,0,2,116900
15,9,9,2,0,2,117800
16,9,9,2,0,2,115400
17,9,9,2,0,2,116000
18,9,9,2,0,2,115500
19,9,9,2,0,2,122400
20,9,9,2,0,2,120300
21,9,9,2,0,2,121900
22,9,9,2,0,2,116700
23,9,9,2,0,2,121300
24,9,9,2,0,2,122300
25,9,9,2,0,2,122600
26,9,9,2,0,2,116500
27,9,9,2,0,2,122200
28,9,9,2,0,2,115700
29,9,9,2,0,2,117100
0,6,6,2,0,2,46300
1,6,6,2,0,2,28900
2,6,6,2,0,2,27500
3,6,6,2,0,2,27800
4,6,6,2,0,2,27500
5,6,6,2,0,2,27100
6,6,6,2,0,2,27200
7,6,6,2,0,2,26900
8,6,6,2,0,2,27100
9,6,6,2,0,2,26900
10,6,6,2,0,2,31600
11,6,6,2,0,2,38400
12,6,6,2,0,2,30200
13,6,6,2,0,2,27300
14,6,6,2,0,2,27000
15,6,6,2,0,2,28800
16,6,6,2,0,2,37700
17,6,6,2,0,2,37800
18,6,6,2,0,2,31500
19,6,6,2,0,2,30500
20,6,6,2,0,2,30200
21,6,6,2,0,2,34000
22,6,6,2,0,2,31900
23,6,6,2,0,2,30100
24,6,6,2,0,2,30100
25,6,6,2,0,2,27400
26,6,6,2,0,2,27500
27,6,6,2,0,2,28100
28,6,6,2,0,2,27600
29,6,6,2,0,2,27400
