nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
3500,15929,525,0,0.15,943,2879,621,88,88,525,1.36139207999222,1.365317000017967,0.015486835644344785
3500,20849,700,0,0.2,1282,3143,357,0,0,700,2.2467545266651237,2.253843200043775,0.02629592710972529
3750,8358,188,0,0.05,339,2505,1245,282,282,188,0.32625048333235707,0.326597600011155,0.0019594995812585586
3750,13280,375,0,0.1,690,2799,951,188,188,375,0.9312626600110282,0.9315893000457436,0.004335896968031733
3750,17704,563,0,0.15,1029,3079,671,94,94,563,1.677983536668277,1.676831599965226,0.026291627505171222
3750,22037,750,0,0.2,1366,3404,346,0,0,750,2.515947323333239,2.519581399974413,0.01767444001334282
4000,9077,200,0,0.05,371,2723,1277,300,300,200,0.3866579700106134,0.3863955999840982,0.002510734228977978
4000,13723,400,0,0.1,727,3045,955,200,200,400,0.9986826466648684,0.998129399958998,0.005075504523009645
4000,18973,600,0,0.15,1095,3279,721,100,100,600,1.9192626033288738,1.9232916999608278,0.024351226999876668
4000,23791,800,0,0.2,1462,3571,429,0,0,800,2.9292114300013052,2.93601630005287,0.03102563212453461
4250,9683,213,0,0.05,393,2870,1380,319,319,213,0.4364830333351468,0.43665869999676943,0.002196537350116162
4250,14891,425,0,0.1,778,3167,1083,213,213,425,1.1628809133234124,1.1700159999891184,0.025833378538634058
4250,20217,638,0,0.15,1169,3490,760,107,107,638,2.179214926669374,2.1845922999782488,0.0230004374054014
4250,26430,850,0,0.2,1579,3818,432,0,0,850,3.6025463433354163,3.6139746000408195,0.06217756797862797
4500,9989,225,0,0.05,411,3041,1459,338,338,225,0.4605956199928187,0.4602569999988191,0.0024694088521499606
4500,15731,450,0,0.1,826,3365,1135,225,225,450,1.3060430600036246,1.3076352999778464,0.012941664623746539
4500,21226,675,0,0.15,1240,3730,770,113,113,675,2.420458713331027,2.41756400000304,0.059462454703101256
4500,26761,900,0,0.2,1645,4047,453,0,0,900,3.7150477999918317,3.727254199970048,0.061960578749765974
4750,10609,238,0,0.05,433,3165,1585,357,357,238,0.4628110566661538,0.46214359998703003,0.033951145388790696
4750,16832,475,0,0.1,873,3559,1191,238,238,475,1.2759057399991434,1.2724189999862574,0.05004958942594587
4750,22435,713,0,0.15,1305,3937,813,119,119,713,2.576203990005888,2.698152700031642,0.19766284050132882
4750,27888,950,0,0.2,1725,4276,474,0,0,950,4.057051770001029,4.05450369999744,0.023856224365535944
5000,11277,250,0,0.05,457,3388,1612,375,375,250,0.5191304599963283,0.5138674999470823,0.03438964077793071
5000,17827,500,0,0.1,921,3724,1276,250,250,500,1.4637282299944976,1.4609341999748722,0.07572763300016619
5000,23467,750,0,0.15,1363,4132,868,125,125,750,2.4872407866622477,2.4893047000514343,0.0753978033319902
5000,29670,1000,0,0.2,1823,4496,504,0,0,1000,3.9111063033381166,3.916099000023678,0.12618619663422884
5250,11840,263,0,0.05,484,3548,1702,394,394,263,0.5611720866678903,0.5565765000064857,0.029598565418711885
5250,18471,525,0,0.1,963,3922,1328,263,263,525,1.5546097033307889,1.5566900999983773,0.055674942202061505
5250,25525,788,0,0.15,1462,4323,927,132,132,788,2.955676033332323,2.975264100008644,0.0966126276211168
5250,31658,1050,0,0.2,1926,4711,539,0,0,1050,4.466741223324789,4.45492099999683,0.11075953695670465
5500,12556,275,0,0.05,507,3680,1820,413,413,275,0.6088156399996175,0.6110085000400431,0.0344826537693583
5500,19176,550,0,0.1,1004,4043,1457,275,275,550,1.692086823331192,1.6877814999897964,0.07525650775064943
5500,25854,825,0,0.15,1515,4505,995,138,138,825,3.033033539998966,3.0421970000024885,0.07853902002142674
5500,33505,1100,0,0.2,2031,4934,566,0,0,1100,5.048017059999983,5.053377800039016,0.191106837256573
