nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,mean(s),median(s),sd(s) 
1250,1250,250,0,0.2,0,1053,197,0,0,250,0.017347316668989757,0.01723819994367659,2.724513485228163E-4
1500,1500,75,0,0.05,0,887,613,0,0,75,0.008590846667842319,0.008371099946089089,0.001100259470672272
1500,1500,150,0,0.1,0,1031,469,0,0,150,0.014925953330627332,0.014715899946168065,0.0010437812137789847
1500,1500,225,0,0.15,0,1165,335,0,0,225,0.021373206675828746,0.021291199955157936,3.4081125145694446E-4
1500,1500,300,0,0.2,0,1256,244,0,0,300,0.023554653344520678,0.023471099906601012,3.144563599297851E-4
1750,1750,88,0,0.05,0,1069,681,0,0,88,0.009489136670405665,0.009411500068381429,2.2017600441133196E-4
1750,1750,175,0,0.1,0,1216,534,0,0,175,0.016582599996278685,0.016521999961696565,2.8996275284866324E-4
1750,1750,263,0,0.15,0,1388,362,0,0,263,0.025630646656888228,0.02524200000334531,0.0013429257627455991
1750,1750,350,0,0.2,0,1500,250,0,0,350,0.033404589999311916,0.03314219997264445,0.0011802529803355648
2000,2000,100,0,0.05,0,1212,788,0,0,100,0.01176291333589082,0.011716900044120848,2.356200804378901E-4
2000,2000,200,0,0.1,0,1406,594,0,0,200,0.02125898332645496,0.02121949999127537,3.664965060778997E-4
2000,2000,300,0,0.15,0,1566,434,0,0,300,0.033562073344364764,0.03294169995933771,0.001940567423367573
2000,2000,400,0,0.2,0,1700,300,0,0,400,0.04396840333938599,0.043951200088486075,5.58772324621228E-4
2250,2250,113,0,0.05,0,1334,916,0,0,113,0.017540226651666064,0.017570700030773878,2.5514775671218895E-4
2250,2250,225,0,0.1,0,1584,666,0,0,225,0.0270284366599905,0.026739099994301796,0.0011355042981521216
2250,2250,338,0,0.15,0,1757,493,0,0,338,0.036798173336622615,0.03666560002602637,5.458478031961961E-4
2250,2250,450,0,0.2,0,1910,340,0,0,450,0.05077545667688052,0.050743999890983105,6.048099611755393E-4
2500,2500,125,0,0.05,0,1504,996,0,0,125,0.01663383001384015,0.016573700006119907,3.077449609445996E-4
2500,2500,250,0,0.1,0,1742,758,0,0,250,0.03243836999560396,0.03240330005064607,2.970932919655976E-4
2500,2500,375,0,0.15,0,1939,561,0,0,375,0.04933201333042234,0.049172000028193,7.585884157585442E-4
2500,2500,500,0,0.2,0,2137,363,0,0,500,0.0645946933150602,0.06456029997207224,7.937651169864013E-4
2750,2750,138,0,0.05,0,1645,1105,0,0,138,0.020678553318915268,0.02066679997369647,3.216621670266395E-4
2750,2750,275,0,0.1,0,1943,807,0,0,275,0.03738702000118792,0.03738290001638234,4.375134424257348E-4
2750,2750,413,0,0.15,0,2183,567,0,0,413,0.05256664667200918,0.05260650010313839,5.840135907514959E-4
2750,2750,550,0,0.2,0,2374,376,0,0,550,0.07970538000420978,0.07962159998714924,6.524449082262437E-4
3000,3000,150,0,0.05,0,1823,1177,0,0,150,0.02362594665804257,0.02360189997125417,4.0036665203923145E-4
3000,3000,300,0,0.1,0,2090,910,0,0,300,0.043351223331410435,0.04330729995854199,4.2601699781400957E-4
3000,3000,450,0,0.15,0,2340,660,0,0,450,0.06414411331837376,0.06415749993175268,7.193417350653601E-4
3000,3000,600,0,0.2,0,2551,449,0,0,600,0.0835958566594248,0.08357100002467632,8.88042113178287E-4
3250,3250,163,0,0.05,0,1963,1287,0,0,163,0.026974670014654596,0.026852000039070845,4.357336455885986E-4
3250,3250,325,0,0.1,0,2255,995,0,0,325,0.04938056335086003,0.04947690002154559,5.293776900051787E-4
3250,3250,488,0,0.15,0,2528,722,0,0,488,0.07467979665768022,0.07462019997183233,6.623493288326526E-4
3250,3250,650,0,0.2,0,2768,482,0,0,650,0.10435160999574387,0.10435109992977232,8.54790634230207E-4
3500,3500,175,0,0.05,0,2094,1406,0,0,175,0.02979313666389013,0.029718799982219934,5.638330754399659E-4
3500,3500,350,0,0.1,0,2442,1058,0,0,350,0.05547617667665084,0.055368600063957274,6.544854534643786E-4
3500,3500,525,0,0.15,0,2741,759,0,0,525,0.08140973333114138,0.08138899994082749,6.471697352046589E-4
3500,3500,700,0,0.2,0,2969,531,0,0,700,0.1189594666628788,0.11904709995724261,9.760409364695151E-4
3750,3750,188,0,0.05,0,2294,1456,0,0,188,0.03478301333573957,0.03477619995828718,3.1985205138086357E-4
3750,3750,375,0,0.1,0,2624,1126,0,0,375,0.06400983666147415,0.06406350003089756,7.407097443866902E-4
3750,3750,563,0,0.15,0,2939,811,0,0,563,0.09571652667364106,0.09579199994914234,9.453752268955926E-4
3750,3750,750,0,0.2,0,3196,554,0,0,750,0.13012170332949607,0.12979869998525828,0.002287949265461349
4000,4000,200,0,0.05,0,2366,1634,0,0,200,0.039443560014478865,0.039147799951024354,6.649377087302021E-4
4000,4000,400,0,0.1,0,2767,1233,0,0,400,0.07092684665306782,0.07084429997485131,6.447601043968361E-4
4000,4000,600,0,0.15,0,3098,902,0,0,600,0.1169815066542166,0.11704589996952564,0.0012632649174019023
4000,4000,800,0,0.2,0,3405,595,0,0,800,0.15090727666004872,0.15087830007541925,0.001019650831355663
4250,4250,213,0,0.05,0,2534,1716,0,0,213,0.039388466669091335,0.03921209997497499,6.470963448421141E-4
4250,4250,425,0,0.1,0,2946,1304,0,0,425,0.07586301000555977,0.07566790003329515,7.429817043978311E-4
4250,4250,638,0,0.15,0,3294,956,0,0,638,0.12209495000618821,0.12224970001261681,0.0010143187178853553
4250,4250,850,0,0.2,0,3619,631,0,0,850,0.16518222665957485,0.16525790002197027,0.001824892938076751
4500,4500,225,0,0.05,0,2755,1745,0,0,225,0.045357263332698496,0.045160200097598135,5.646428578942905E-4
4500,4500,450,0,0.1,0,3128,1372,0,0,450,0.08660793665330857,0.08633780002128333,7.524301302155409E-4
4500,4500,675,0,0.15,0,3503,997,0,0,675,0.14097561667440459,0.140645100036636,0.0024808495363286935
4500,4500,900,0,0.2,0,3811,689,0,0,900,0.19381342998628195,0.1941320999758318,0.0016643927562032727
4750,4750,238,0,0.05,0,2809,1941,0,0,238,0.047643553345308946,0.04751669999677688,5.648159960127168E-4
4750,4750,475,0,0.1,0,3297,1453,0,0,475,0.09067944999163349,0.09059040003921837,6.236184334165348E-4
4750,4750,713,0,0.15,0,3704,1046,0,0,713,0.14838051000066724,0.14821750007104129,0.0015476839665193925
4750,4750,950,0,0.2,0,4052,698,0,0,950,0.20497239665516342,0.20523169997613877,0.002082090019770886
5000,5000,250,0,0.05,0,2953,2047,0,0,250,0.052719820007526626,0.052676200051791966,5.593738154177735E-4
5000,5000,500,0,0.1,0,3504,1496,0,0,500,0.09876728332989539,0.09878849994856864,6.692770786062148E-4
5000,5000,750,0,0.15,0,3921,1079,0,0,750,0.17013708002244432,0.17050820006988943,0.002681082637418096
5000,5000,1000,0,0.2,0,4280,720,0,0,1000,0.23273470000519106,0.23242789995856583,0.00291769237841872
