Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
18,500,525,25,0,0.05,0,443,57,38,38,25,0.001372400001855567
19,500,525,25,0,0.05,0,443,57,38,38,25,0.0014762999999220483
20,500,525,25,0,0.05,0,443,57,38,38,25,0.001363600000331644
21,500,525,25,0,0.05,0,443,57,38,38,25,0.0013208000018494204
22,500,525,25,0,0.05,0,443,57,38,38,25,0.0014320000045699999
23,500,525,25,0,0.05,0,443,57,38,38,25,0.0013264000008348376
24,500,525,25,0,0.05,0,443,57,38,38,25,0.0015162000054260716
25,500,525,25,0,0.05,0,443,57,38,38,25,0.0013532000011764467
26,500,525,25,0,0.05,0,443,57,38,38,25,0.0013837000005878508
27,500,525,25,0,0.05,0,443,57,38,38,25,0.0013705999954254366
28,500,525,25,0,0.05,0,443,57,38,38,25,0.0013289999988046475
29,500,525,25,0,0.05,0,443,57,38,38,25,0.0014482999977190048
0,500,550,50,0,0.1,0,420,80,25,25,50,0.0025297000029240735
1,500,550,50,0,0.1,0,420,80,25,25,50,0.002487200006726198
2,500,550,50,0,0.1,0,420,80,25,25,50,0.0027394999997341074
3,500,550,50,0,0.1,0,420,80,25,25,50,0.0024164999995264225
4,500,550,50,0,0.1,0,420,80,25,25,50,0.002340599996387027
5,500,550,50,0,0.1,0,420,80,25,25,50,0.002373099996475503
6,500,550,50,0,0.1,0,420,80,25,25,50,0.0023865999974077567
7,500,550,50,0,0.1,0,420,80,25,25,50,0.0024871999994502403
8,500,550,50,0,0.1,0,420,80,25,25,50,0.002311500000359956
9,500,550,50,0,0.1,0,420,80,25,25,50,0.003048899998248089
10,500,550,50,0,0.1,0,420,80,25,25,50,0.002683699996850919
11,500,550,50,0,0.1,0,420,80,25,25,50,0.002398600001470186
12,500,550,50,0,0.1,0,420,80,25,25,50,0.002810700003465172
13,500,550,50,0,0.1,0,420,80,25,25,50,0.0023271999962162226
14,500,550,50,0,0.1,0,420,80,25,25,50,0.0023842000009608455
15,500,550,50,0,0.1,0,420,80,25,25,50,0.0025199000010616146
16,500,550,50,0,0.1,0,420,80,25,25,50,0.0023228000063681975
17,500,550,50,0,0.1,0,420,80,25,25,50,0.002477900001395028
18,500,550,50,0,0.1,0,420,80,25,25,50,0.002325499997823499
19,500,550,50,0,0.1,0,420,80,25,25,50,0.002470399995218031
