Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
19,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.00124299997696653
20,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012120000319555402
21,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001180000021122396
22,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011807000264525414
23,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012183000217191875
24,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001175300043541938
25,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012540000025182962
26,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0012596999877132475
27,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.001199199992697686
28,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011786000104621053
29,5,6,1,0,0.2,1,8,0,3,2,0,0,1,36,0.0011968999751843512
0,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.007932899985462427
1,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.00667470000917092
2,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.006485799967776984
3,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0061224999953992665
4,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005929300037678331
5,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.0053462000214494765
6,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005002200021408498
7,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.00501080002868548
8,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005188999988604337
9,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004929999995511025
10,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005127399985212833
11,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005046800011768937
12,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005154699960257858
13,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005136000050697476
14,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004853899998124689
15,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004599999985657632
16,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004761199990753084
17,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.00499460002174601
18,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.005032000015489757
19,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004810500016901642
20,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004838599998038262
21,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004778300004545599
22,5,6,1,0,0.2,7,7,0,3,2,0,0,1,36,0.004806399985682219
