Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,Time(s) 
24,500,501,75,0,0.15,0,426,74,13,13,75,45,0.3007486000060453
25,500,501,75,0,0.15,0,426,74,13,13,75,45,0.29858619999868097
26,500,501,75,0,0.15,0,426,74,13,13,75,45,0.301319300000614
27,500,501,75,0,0.15,0,426,74,13,13,75,45,0.30264099999476457
28,500,501,75,0,0.15,0,426,74,13,13,75,45,0.2992099999974016
29,500,501,75,0,0.15,0,426,74,13,13,75,45,0.300266999998712
0,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5458212000012281
1,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5140178999936325
2,500,502,100,0,0.2,0,420,80,0,0,100,45,0.544129999994766
3,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5435397000037483
4,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5419220000039786
5,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5412226999978884
6,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5434668000016245
7,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5484186000030604
8,500,502,100,0,0.2,0,420,80,0,0,100,45,0.6176962000026833
9,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5355133999983082
10,500,502,100,0,0.2,0,420,80,0,0,100,45,0.537067900004331
11,500,502,100,0,0.2,0,420,80,0,0,100,45,0.53875529999641
12,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5370482000071206
13,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5371723999996902
14,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5374554000009084
15,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5359899999966729
16,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5348795999962022
17,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5381429999979446
18,500,502,100,0,0.2,0,420,80,0,0,100,45,0.6411936000004061
19,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5362844999981462
20,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5347787999999127
21,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5369157999957679
22,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5389336999942316
23,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5383545000004233
24,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5392692999957944
25,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5369479000000865
26,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5403326000014204
27,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5353696000020136
28,500,502,100,0,0.2,0,420,80,0,0,100,45,0.5431319000053918
29,500,502,100,0,0.2,0,420,80,0,0,100,45,0.6060101999973995
0,750,750,75,0,0.1,0,636,114,38,38,75,45,0.41507020000426564
1,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3793251000024611
2,750,750,75,0,0.1,0,636,114,38,38,75,45,0.37988290000066627
3,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38195499998982996
4,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3807978999975603
5,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38217420000000857
6,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38210410000465345
7,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3813813000015216
8,750,750,75,0,0.1,0,636,114,38,38,75,45,0.4057530999998562
9,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3822012000018731
10,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3806834999995772
11,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38302130000374746
12,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38074520000373013
13,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3814756000065245
14,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3810698000015691
15,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38091769999300595
16,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3836580000061076
17,750,750,75,0,0.1,0,636,114,38,38,75,45,0.39371309999842197
18,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3803550000011455
19,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38243499999225605
20,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3804234999988694
21,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3828913999896031
22,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3819355000014184
23,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3816231999953743
24,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3811769000021741
25,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3965036000008695
26,750,750,75,0,0.1,0,636,114,38,38,75,45,0.38220249999722
27,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3824042000051122
28,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3810743000067305
29,750,750,75,0,0.1,0,636,114,38,38,75,45,0.3829107999918051
0,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6940710000053514
1,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7502389000001131
2,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6607805000094231
3,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6932864999980666
4,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7174449000012828
5,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7357762000028742
6,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7137041999958456
7,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7114724000130082
8,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6859385000134353
9,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7165960999991512
10,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6889184999890858
11,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6882876000017859
12,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6849362000066321
13,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7144059999991441
14,750,750,113,0,0.15,0,649,101,19,19,113,45,0.683334899993497
15,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6835855999961495
16,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6855624000017997
17,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7149795000004815
18,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6824707999912789
19,750,750,113,0,0.15,0,649,101,19,19,113,45,0.684222600000794
20,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6918626999977278
21,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7075161999964621
22,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6881515999994008
23,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6857996999897296
24,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6826271000027191
25,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7104839999956312
26,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6845193000044674
27,750,750,113,0,0.15,0,649,101,19,19,113,45,0.6857470000104513
28,750,750,113,0,0.15,0,649,101,19,19,113,45,0.683355200002552
29,750,750,113,0,0.15,0,649,101,19,19,113,45,0.7059818000125233
0,750,750,150,0,0.2,0,638,112,0,0,150,45,1.219961599999806
1,750,750,150,0,0.2,0,638,112,0,0,150,45,1.124737100006314
2,750,750,150,0,0.2,0,638,112,0,0,150,45,1.2213297999987844
3,750,750,150,0,0.2,0,638,112,0,0,150,45,1.145944400006556
