Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nProductsBefore,nProductsAfter,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
19,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.469895692542195E-5
20,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.560100104659796E-5
21,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.399999933317304E-5
22,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.47000046633184E-5
23,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.599896682426333E-5
24,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.700002217665315E-5
25,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.659996092319489E-5
26,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.680002065375447E-5
27,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.399999933317304E-5
28,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.3099992480129E-5
29,5,6,1,0,0.2,1,7,0,3,2,0,0,1,8.790002902969718E-5
0,5,6,1,0,0.2,7,7,0,3,2,0,0,1,0.00777190102962777
1,5,6,1,0,0.2,7,7,0,3,2,0,0,1,5.447000148706138E-4
2,5,6,1,0,0.2,7,7,0,3,2,0,0,1,4.67998965177685E-4
3,5,6,1,0,0.2,7,7,0,3,2,0,0,1,4.1259999852627516E-4
4,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.980000037699938E-4
5,5,6,1,0,0.2,7,7,0,3,2,0,0,1,4.161010147072375E-4
6,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.964999923482537E-4
7,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.5650102654471993E-4
8,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.1269999453797936E-4
9,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.3279997296631336E-4
10,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.7379999412223697E-4
11,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.483000327832997E-4
12,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.060000017285347E-4
13,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.3090001670643687E-4
14,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.677000058814883E-4
15,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.554999711923301E-4
16,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.956999815069139E-4
17,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.685000072233379E-4
18,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.9450003057718277E-4
19,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.04899993352592E-4
20,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.644010237418115E-4
21,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.7940102154389024E-4
22,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.8879899764433503E-4
23,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.7859897818416357E-4
24,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.682000049389899E-4
25,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.769989660009742E-4
26,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.606000052765012E-4
27,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.804999821819365E-4
28,5,6,1,0,0.2,7,7,0,3,2,0,0,1,3.797010285779834E-4
29,5,6,1,0,0.2,7,7,0,3,2,0,0,1,2.935000229626894E-4
0,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6250001499429345E-4
1,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6799999866634607E-4
2,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.642010174691677E-4
3,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6840000171214342E-4
4,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6150000737980008E-4
5,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.816989970393479E-4
6,5,5,1,0,0.2,7,7,0,3,2,0,0,1,2.0400102948769927E-4
7,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5400000847876072E-4
8,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.4940102118998766E-4
9,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.511010341346264E-4
10,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5120103489607573E-4
11,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.52900000102818E-4
12,5,5,1,0,0.2,7,7,0,3,2,0,0,1,2.0399998174980283E-4
13,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5590002294629812E-4
14,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5500100562348962E-4
15,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5400000847876072E-4
16,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.4969997573643923E-4
17,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5490100486204028E-4
18,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.4920003013685346E-4
19,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5050102956593037E-4
20,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.5139998868107796E-4
21,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.498999772593379E-4
22,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.697000116109848E-4
23,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.9779900321736932E-4
24,5,5,1,0,0.2,7,7,0,3,2,0,0,1,1.6400101594626904E-4
25,5,5,1,0,0.2,7,7,0,3,2,0,0,1,3.559010219760239E-4
