Run,nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nConstraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,Time(s) 
24,1250,4311,125,0,0.1,226,969,281,63,63,125,0.103629200020805
25,1250,4311,125,0,0.1,226,969,281,63,63,125,0.1046226000180468
26,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10554400004912168
27,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10451109998393804
28,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10590999998385087
29,1250,4311,125,0,0.1,226,969,281,63,63,125,0.10779620002722368
0,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21979620005004108
1,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.22738329996354878
2,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21339310001349077
3,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2117572000133805
4,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2119966999744065
5,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21607659995788708
6,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21587359998375177
7,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21572669997112826
8,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21998880000319332
9,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21267800003988668
10,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21506180003052577
11,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21300709998467937
12,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21279650001088157
13,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2153702000505291
14,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21271019999403507
15,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21813240001210943
16,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21966669999528676
17,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2174094999791123
18,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2170081000076607
19,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.22064979997230694
20,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21793280000565574
21,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21501749998424202
22,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21235050004906952
23,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.22869469999568537
24,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.22943740000482649
25,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21438710001530126
26,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21184340002946556
27,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21792210004059598
28,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.21886500000255182
29,1250,6209,188,0,0.15,350,1040,210,32,32,188,0.2271506999968551
0,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2976110000163317
1,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2936481999931857
2,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2958179999841377
3,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2963904999778606
4,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29692450002767146
5,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2979030999704264
6,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2936033000005409
7,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.297664400015492
8,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.3026959999697283
9,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.30819850001716986
10,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29756480001378804
11,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2961272000102326
12,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29709900001762435
13,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29467480001039803
14,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2950214000302367
15,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2948012999841012
16,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2977015000069514
17,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29305189999286085
18,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2929048999794759
19,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29916559997946024
20,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.3131095000426285
21,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.299702399992384
22,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29038620000937954
23,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2999740000232123
24,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2966347999754362
25,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29308620002120733
26,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.2914659999660216
27,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29140700004063547
28,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.30204600002616644
29,1250,7432,250,0,0.2,455,1122,128,0,0,250,0.29271629999857396
0,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05460759997367859
1,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05510709999362007
2,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05453019996639341
3,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05524290003813803
4,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054526699997950345
5,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05469050002284348
6,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05461080005625263
7,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05534339998848736
8,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05505660001654178
9,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05451220000395551
10,1500,3317,75,0,0.05,136,995,505,113,113,75,0.0545939999865368
11,1500,3317,75,0,0.05,136,995,505,113,113,75,0.055397999996785074
12,1500,3317,75,0,0.05,136,995,505,113,113,75,0.055174099979922175
13,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054830499982926995
14,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05460930004483089
15,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05484479997539893
16,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05461089999880642
17,1500,3317,75,0,0.05,136,995,505,113,113,75,0.0544893000042066
18,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054655499989166856
19,1500,3317,75,0,0.05,136,995,505,113,113,75,0.055810299993027
20,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054575500020291656
21,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05532270000549033
22,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05534929997520521
23,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05475299997488037
24,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05550989997573197
25,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05512580001959577
26,1500,3317,75,0,0.05,136,995,505,113,113,75,0.05461609998019412
27,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054424399975687265
28,1500,3317,75,0,0.05,136,995,505,113,113,75,0.054968199983704835
29,1500,3317,75,0,0.05,136,995,505,113,113,75,0.055083899991586804
0,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.1555509000318125
1,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15547090000472963
2,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15417990001151338
3,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15764749998925254
4,1500,5309,150,0,0.1,277,1122,378,75,75,150,0.15470880002249032
