nFeaturesBefore,nFeaturesAfter,nFeaturesTypeBefore,nFeaturesTypeAfter,percentageOfFeaturesType,nContraints,nOptionals,nMandatories,nAlternativeGroups,nSelectionGroups,nRefactors,nRulesSucessfullyExecuted,mean(s),median(s),sd(s) 
2500,2875,375,0,0.15,0,2133,367,63,63,375,40,0.41661203333278535,0.42242719999921974,0.03469979291784109
2500,3000,500,0,0.2,0,2137,363,0,0,500,40,0.6762484900003377,0.6851430000024266,0.05207939684425558
2750,2888,138,0,0.05,0,2363,387,207,207,138,40,0.20813835999991473,0.19985900000028778,0.021294383916145118
2750,3025,275,0,0.1,0,2366,384,138,138,275,40,0.34140832999983106,0.3375796999971499,0.03389691535916933
2750,3163,413,0,0.15,0,2338,412,69,69,413,40,0.5164344366671382,0.5159320999955526,0.02982301785168202
2750,3300,550,0,0.2,0,2311,439,0,0,550,40,0.7660083866673327,0.7588608999940334,0.0498272150562655
3000,3150,150,0,0.05,0,2617,383,225,225,150,40,0.24360760666677378,0.23559209999802988,0.022806875589062095
3000,3300,300,0,0.1,0,2557,443,150,150,300,40,0.36470892999956656,0.3556160000007367,0.024985228293731652
3000,3450,450,0,0.15,0,2549,451,75,75,450,40,0.5727246999997685,0.5588587000020198,0.03357344528429181
3000,3600,600,0,0.2,0,2555,445,0,0,600,40,0.8915163566663977,0.8751176999940071,0.06275144714087924
3250,3413,163,0,0.05,0,2826,424,244,244,163,40,0.2715541766662985,0.2653398999973433,0.02005445408144411
3250,3575,325,0,0.1,0,2767,483,163,163,325,40,0.41993147333317515,0.4182046999994782,0.02584876581132063
3250,3738,488,0,0.15,0,2773,477,82,82,488,40,0.6561823333327387,0.6595757999966736,0.0230204350281929
3250,3900,650,0,0.2,0,2777,473,0,0,650,40,0.9837369466668557,0.9817018000030657,0.028606088589371796
3500,3675,175,0,0.05,0,3034,466,263,263,175,40,0.3172436900002746,0.3068437000038102,0.022744087110812276
3500,3850,350,0,0.1,0,3001,499,175,175,350,40,0.4743460733324658,0.46132390000275336,0.02814408705501342
3500,4025,525,0,0.15,0,2976,524,88,88,525,40,0.7534281933328505,0.7443007000038051,0.027836503019583948
3500,4200,700,0,0.2,0,2975,525,0,0,700,40,1.1364446333337885,1.1269864999994752,0.03053656013796078
3750,3938,188,0,0.05,0,3241,509,282,282,188,40,0.3585907133332512,0.3429448000024422,0.022415266467410187
3750,4125,375,0,0.1,0,3216,534,188,188,375,40,0.5377211133335853,0.5318982000026153,0.022916995318865308
3750,4313,563,0,0.15,0,3203,547,94,94,563,40,0.8598478066669486,0.8571907000005012,0.029318857948313258
3750,4500,750,0,0.2,0,3241,509,0,0,750,40,1.3039960666663926,1.3053491000027861,0.028249634287662046
4000,4200,200,0,0.05,0,3466,534,300,300,200,40,0.408729013333262,0.3947584999987157,0.02661575184878994
4000,4400,400,0,0.1,0,3400,600,200,200,400,40,0.5991256533333702,0.5892772000006516,0.021718725247989266
4000,4600,600,0,0.15,0,3399,601,100,100,600,40,0.9725515899995419,0.9915393000046606,0.03267022946854071
4000,4800,800,0,0.2,0,3425,575,0,0,800,40,1.5056728633334084,1.4909565999987535,0.07515336319464219
4250,4463,213,0,0.05,0,3672,578,319,319,213,40,0.4852186133325934,0.4752638999998453,0.05035678271764578
4250,4675,425,0,0.1,0,3674,576,213,213,425,40,0.6736658099995111,0.6655602999962866,0.024309489165997275
4250,4888,638,0,0.15,0,3597,653,107,107,638,40,1.0671689833332494,1.0642960999975912,0.027295870002491965
4250,5100,850,0,0.2,0,3610,640,0,0,850,40,1.6452230699990953,1.6410276000024169,0.03661398941581928
4500,4725,225,0,0.05,0,3917,583,338,338,225,40,0.5879455798664518,0.5836821990087628,0.015629914257675542
